city,strategy,requested_routes,actual_routes,new_count,selected_count,capacity_added_total,demand_target_total,demand_without_after_total,demand_left_after_total,provision_total_after,route_unserved_pct,route_cost,after_routes_access_gap,candidate_dir,placement_summary,snapshot_manifest,snapshot_provision_after_routes,snapshot_connectpt_summary,snapshot_connectpt_generated_routes,snapshot_intermodal_replaced,snapshot_accessibility_recomputed,snapshot_graph_nodes,snapshot_graph_edges_source
arequipa_peru,candidate_or_existing_service,3,3,67,100,53600.0,3131.0,0.0,0.0,1.0,59.3283576965332,4.5883636474609375,3131.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
arequipa_peru,candidate_service,3,3,67,100,53600.0,3131.0,0.0,0.0,1.0,55.65920639038086,4.839005470275879,3131.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/candidate_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
arequipa_peru,existing_service,3,3,67,100,53600.0,3131.0,0.0,0.0,1.0,77.2698974609375,5.253026008605957,3131.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/existing_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
arequipa_peru,general_connectivity,3,3,67,100,53600.0,3131.0,0.0,0.0,1.0,88.58956909179688,6.035624027252197,3131.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/general_connectivity/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
arequipa_peru,baseline_no_routes,0,0,69,102,55200.0,3216.0,0.0,0.0,1.0,,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/_baseline_no_new_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/_baseline_no_new_routes/placement/summary_after.json,,,,,,,,
arequipa_peru,placement_assignment,3,0,69,102,55200.0,3216.0,0.0,0.0,1.0,,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/placement_assignment/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/placement_assignment/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/placement_assignment/routes_3/accessibility_first/manifest_accessibility_first.json,,,,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/placement_assignment/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/placement_assignment/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
bergen_norway,baseline_no_routes,0,0,7,16,5600.0,881.0,0.0,0.0,1.0,,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/_baseline_no_new_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/_baseline_no_new_routes/placement/summary_after.json,,,,,,,,
bergen_norway,placement_assignment,3,0,7,16,5600.0,881.0,0.0,0.0,1.0,,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/placement_assignment/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
bergen_norway,existing_service,3,3,7,16,5600.0,707.0,0.0,0.0,1.0,57.54824447631836,4.5295915603637695,707.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/existing_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
bergen_norway,candidate_or_existing_service,3,3,8,17,6400.0,667.0,0.0,0.0,1.0,43.35981750488281,3.5583882331848145,667.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_or_existing_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
bergen_norway,candidate_service,3,3,8,17,6400.0,667.0,0.0,0.0,1.0,43.35981750488281,3.5583882331848145,667.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/candidate_service/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
bergen_norway,general_connectivity,3,3,8,17,6400.0,624.0,0.0,0.0,1.0,74.5024185180664,5.965332508087158,624.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/placement/summary_after.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/accessibility_first/manifest_accessibility_first.json,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/accessibility_first/provision_after_routes,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/connectpt_bus_summary.json,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/snapshots/intermodal_replaced,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/snapshots/accessibility_recomputed,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/snapshots/intermodal_replaced/graph_nodes.parquet,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/general_connectivity/routes_3/snapshots/intermodal_replaced/graph_edges_source.parquet
