city,best_strategy,requested_routes,actual_routes,new_count,selected_count,capacity_added_total,demand_target_total,demand_left_after_total,provision_total_after,route_unserved_pct,route_cost,summary_csv
arequipa_peru,candidate_or_existing_service,3,3,67,100,53600.0,3131.0,0.0,1.0,59.3283576965332,4.5883636474609375,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/arequipa_peru/route_count_selection_summary.csv
bergen_norway,baseline_no_routes,0,0,7,16,5600.0,881.0,0.0,1.0,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bergen_norway/route_count_selection_summary.csv
bologna_italy,candidate_or_existing_service,3,3,44,64,35200.0,2091.0,0.0,1.0,94.93729400634766,6.051487445831299,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/bologna_italy/route_count_selection_summary.csv
brno_czechia,candidate_or_existing_service,3,3,26,37,20800.0,2220.0,0.0,0.9950141266411833,72.51559448242188,5.252546310424805,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/brno_czechia/route_count_selection_summary.csv
coimbra_portugal,candidate_or_existing_service,3,3,65,88,52000.0,2865.0,0.0,1.0,94.32695770263672,5.912855625152588,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/coimbra_portugal/route_count_selection_summary.csv
delft_netherlands,existing_service,3,3,59,67,47200.0,2491.0,0.0,1.0,87.54379272460938,5.344787120819092,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/delft_netherlands/route_count_selection_summary.csv
huainan_anhui_china,general_connectivity,3,3,27,27,21600.0,2761.0,0.0,1.0,53.612239837646484,4.346796989440918,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/huainan_anhui_china/route_count_selection_summary.csv
kakogawacho_honmachi_hy_go_japan,candidate_or_existing_service,3,3,105,127,84000.0,4394.0,0.0,1.0,47.17797088623047,4.4188232421875,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/kakogawacho_honmachi_hy_go_japan/route_count_selection_summary.csv
krakow_poland,candidate_or_existing_service,3,3,28,37,22400.0,1416.0,0.0,1.0,62.853111267089844,4.843535900115967,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/krakow_poland/route_count_selection_summary.csv
marseille_france,candidate_or_existing_service,3,3,30,32,24000.0,696.0,0.0,1.0,63.21839141845703,5.323891639709473,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/marseille_france/route_count_selection_summary.csv
temuco_araucan_a_chile,baseline_no_routes,0,0,54,64,43200.0,3092.0,0.0,1.0,,,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/temuco_araucan_a_chile/route_count_selection_summary.csv
