city,status,seconds,png,log
arequipa_peru,ok,3.3,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/arequipa_peru.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/arequipa_peru.log
bergen_norway,ok,5.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/bergen_norway.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/bergen_norway.log
bologna_italy,ok,3.2,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/bologna_italy.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/bologna_italy.log
brno_czechia,ok,3.8,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/brno_czechia.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/brno_czechia.log
coimbra_portugal,ok,3.4,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/coimbra_portugal.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/coimbra_portugal.log
delft_netherlands,ok,10.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/delft_netherlands.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/delft_netherlands.log
huainan_anhui_china,ok,2.2,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/huainan_anhui_china.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/huainan_anhui_china.log
kakogawacho_honmachi_hy_go_japan,ok,4.5,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/kakogawacho_honmachi_hy_go_japan.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/kakogawacho_honmachi_hy_go_japan.log
krakow_poland,ok,2.9,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/krakow_poland.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/krakow_poland.log
marseille_france,ok,3.0,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/marseille_france.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/marseille_france.log
temuco_araucan_a_chile,ok,2.9,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/temuco_araucan_a_chile.png,/Users/gk/Code/super-duper-disser/segregation-by-design-experiments/polyclinic_access_components/outputs/overnight_route_strategy_batch_20260613_routes3_finalcanvas/_final_full_canvases_11_20260620/logs/temuco_araucan_a_chile.log
