city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,access_egress_sum_ok,8922.0,1270.0,7652.0,0.142
amsterdam_netherlands,access_egress_sum_ok,54703.0,10638.0,44065.0,0.194
arequipa_peru,access_egress_sum_ok,4782.0,7.0,4775.0,0.001
delft_netherlands,access_egress_sum_ok,112420.0,35165.0,77255.0,0.313
hai_duong_h_i_d_ng_vietnam,access_egress_sum_ok,268.0,24.0,244.0,0.09
huainan_anhui_china,access_egress_sum_ok,787.0,101.0,686.0,0.128
jaynagar_bih_r_india,access_egress_sum_ok,126.0,13.0,113.0,0.103
kakogawacho_honmachi_hy_go_japan,access_egress_sum_ok,12593.0,8997.0,3596.0,0.714
kananga_kasa_central_congo_kinshasa,access_egress_sum_ok,316.0,70.0,246.0,0.222
maracay_aragua_venezuela,access_egress_sum_ok,11272.0,5209.0,6063.0,0.462
montes_claros_minas_gerais_brazil,access_egress_sum_ok,888.0,414.0,474.0,0.466
naihati_west_bengal_india,access_egress_sum_ok,537.0,237.0,300.0,0.441
narayanganj_dhaka_bangladesh,access_egress_sum_ok,6031.0,168.0,5863.0,0.028
nouakchott_nouakchott_ouest_mauritania,access_egress_sum_ok,18522.0,6192.0,12330.0,0.334
spring_valley_nevada_united_states,access_egress_sum_ok,41015.0,17254.0,23761.0,0.421
temuco_araucan_a_chile,access_egress_sum_ok,7316.0,2700.0,4616.0,0.369
vologda_russia,access_egress_sum_ok,7950.0,2176.0,5774.0,0.274
