city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,access_ok,8922.0,2638.0,6284.0,0.296
amsterdam_netherlands,access_ok,54703.0,13455.0,41248.0,0.246
arequipa_peru,access_ok,4782.0,8.0,4774.0,0.002
delft_netherlands,access_ok,112420.0,41596.0,70824.0,0.37
hai_duong_h_i_d_ng_vietnam,access_ok,268.0,25.0,243.0,0.093
huainan_anhui_china,access_ok,787.0,308.0,479.0,0.391
jaynagar_bih_r_india,access_ok,126.0,13.0,113.0,0.103
kakogawacho_honmachi_hy_go_japan,access_ok,12593.0,9104.0,3489.0,0.723
kananga_kasa_central_congo_kinshasa,access_ok,316.0,77.0,239.0,0.244
maracay_aragua_venezuela,access_ok,11272.0,5340.0,5932.0,0.474
montes_claros_minas_gerais_brazil,access_ok,888.0,420.0,468.0,0.473
naihati_west_bengal_india,access_ok,537.0,245.0,292.0,0.456
narayanganj_dhaka_bangladesh,access_ok,6031.0,168.0,5863.0,0.028
nouakchott_nouakchott_ouest_mauritania,access_ok,18522.0,6589.0,11933.0,0.356
spring_valley_nevada_united_states,access_ok,41015.0,25710.0,15305.0,0.627
temuco_araucan_a_chile,access_ok,7316.0,2896.0,4420.0,0.396
vologda_russia,access_ok,7950.0,2934.0,5016.0,0.369
