city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,in_vehicle_ok,8922.0,4728.0,4194.0,0.53
amsterdam_netherlands,in_vehicle_ok,54703.0,13429.0,41274.0,0.245
arequipa_peru,in_vehicle_ok,4782.0,720.0,4062.0,0.151
delft_netherlands,in_vehicle_ok,112420.0,59101.0,53319.0,0.526
hai_duong_h_i_d_ng_vietnam,in_vehicle_ok,268.0,268.0,0.0,1.0
huainan_anhui_china,in_vehicle_ok,787.0,527.0,260.0,0.67
jaynagar_bih_r_india,in_vehicle_ok,126.0,126.0,0.0,1.0
kakogawacho_honmachi_hy_go_japan,in_vehicle_ok,12593.0,12593.0,0.0,1.0
kananga_kasa_central_congo_kinshasa,in_vehicle_ok,316.0,316.0,0.0,1.0
maracay_aragua_venezuela,in_vehicle_ok,11272.0,11272.0,0.0,1.0
montes_claros_minas_gerais_brazil,in_vehicle_ok,888.0,888.0,0.0,1.0
naihati_west_bengal_india,in_vehicle_ok,537.0,537.0,0.0,1.0
narayanganj_dhaka_bangladesh,in_vehicle_ok,6031.0,6031.0,0.0,1.0
nouakchott_nouakchott_ouest_mauritania,in_vehicle_ok,18522.0,18502.0,20.0,0.999
spring_valley_nevada_united_states,in_vehicle_ok,41015.0,26349.0,14666.0,0.642
temuco_araucan_a_chile,in_vehicle_ok,7316.0,7316.0,0.0,1.0
vologda_russia,in_vehicle_ok,7950.0,4132.0,3818.0,0.52
