city,pt_edges,services,cells
adelaide_south_australia_australia,400,5,224
amsterdam_netherlands,673,57,177
arequipa_peru,22,56,294
delft_netherlands,546,22,91
hai_duong_h_i_d_ng_vietnam,0,0,927
huainan_anhui_china,116,1,456
jaynagar_bih_r_india,0,23,479
kakogawacho_honmachi_hy_go_japan,38,83,588
kananga_kasa_central_congo_kinshasa,0,2,387
maracay_aragua_venezuela,0,10,463
montes_claros_minas_gerais_brazil,0,2,502
naihati_west_bengal_india,0,14,862
narayanganj_dhaka_bangladesh,0,14,709
nouakchott_nouakchott_ouest_mauritania,47,15,733
spring_valley_nevada_united_states,681,8,671
temuco_araucan_a_chile,2,10,452
vologda_russia,485,11,219
bergen_norway,115,14,51
bologna_italy,1312,26,151
bristol_united_kingdom,630,13,132
brno_czechia,786,14,141
coimbra_portugal,1138,17,276
debrecen_hungary,1058,2,242
dresden_germany,960,14,232
freiburg_im_breisgau_germany,737,13,179
gothenburg_sweden,652,65,177
graz_austria,1109,18,156
innsbruck_austria,897,5,159
krakow_poland,323,11,107
linz_austria,911,5,234
lyon_france,1164,62,163
marseille_france,676,4,154
porto_portugal,1485,60,188
turin_italy,1699,29,164
turku_finland,1269,11,146
zaragoza_spain,1340,51,271
