city,pattern_value,pattern_context,n,share
adelaide_south_australia_australia,Irregular Grid,pt_path,46627.526,0.596
adelaide_south_australia_australia,Loops & Lollipops,pt_path,23540.807,0.301
adelaide_south_australia_australia,Warped Parallel,pt_path,4147.462,0.053
adelaide_south_australia_australia,Regular Grid,pt_path,3883.76,0.05
adelaide_south_australia_australia,Broken Grid,pt_path,8.075,0.0
adelaide_south_australia_australia,Sparse,pt_path,0.0,0.0
amsterdam_netherlands,Irregular Grid,pt_path,62929.554,0.719
amsterdam_netherlands,Loops & Lollipops,pt_path,13172.486,0.151
amsterdam_netherlands,Regular Grid,pt_path,10023.964,0.115
amsterdam_netherlands,Warped Parallel,pt_path,1384.96,0.016
amsterdam_netherlands,Broken Grid,pt_path,0.0,0.0
amsterdam_netherlands,Sparse,pt_path,0.0,0.0
arequipa_peru,Irregular Grid,pt_path,2.609,0.668
arequipa_peru,Loops & Lollipops,pt_path,1.299,0.332
arequipa_peru,Broken Grid,pt_path,0.0,0.0
arequipa_peru,Regular Grid,pt_path,0.0,0.0
arequipa_peru,Sparse,pt_path,0.0,0.0
arequipa_peru,Warped Parallel,pt_path,0.0,0.0
delft_netherlands,Irregular Grid,pt_path,79896.133,0.772
delft_netherlands,Loops & Lollipops,pt_path,18548.107,0.179
delft_netherlands,Broken Grid,pt_path,2469.449,0.024
delft_netherlands,Regular Grid,pt_path,1470.165,0.014
delft_netherlands,Warped Parallel,pt_path,641.162,0.006
delft_netherlands,Sparse,pt_path,444.714,0.004
hai_duong_h_i_d_ng_vietnam,Broken Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Irregular Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Loops & Lollipops,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Regular Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Sparse,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Warped Parallel,pt_path,0.0,0.0
huainan_anhui_china,Loops & Lollipops,pt_path,4317.599,0.881
huainan_anhui_china,Irregular Grid,pt_path,538.295,0.11
huainan_anhui_china,Regular Grid,pt_path,43.962,0.009
huainan_anhui_china,Broken Grid,pt_path,2.392,0.0
huainan_anhui_china,Sparse,pt_path,0.0,0.0
huainan_anhui_china,Warped Parallel,pt_path,0.0,0.0
jaynagar_bih_r_india,Broken Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Irregular Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Loops & Lollipops,pt_path,0.0,0.0
jaynagar_bih_r_india,Regular Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Sparse,pt_path,0.0,0.0
jaynagar_bih_r_india,Warped Parallel,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Broken Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Irregular Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Loops & Lollipops,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Regular Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Sparse,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Warped Parallel,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Broken Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Irregular Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Loops & Lollipops,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Regular Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Sparse,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Warped Parallel,pt_path,0.0,0.0
maracay_aragua_venezuela,Broken Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Irregular Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Loops & Lollipops,pt_path,0.0,0.0
maracay_aragua_venezuela,Regular Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Sparse,pt_path,0.0,0.0
maracay_aragua_venezuela,Warped Parallel,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Broken Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Irregular Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Loops & Lollipops,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Regular Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Sparse,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Warped Parallel,pt_path,0.0,0.0
naihati_west_bengal_india,Broken Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Irregular Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Loops & Lollipops,pt_path,0.0,0.0
naihati_west_bengal_india,Regular Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Sparse,pt_path,0.0,0.0
naihati_west_bengal_india,Warped Parallel,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Broken Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Irregular Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Loops & Lollipops,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Regular Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Sparse,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Warped Parallel,pt_path,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Irregular Grid,pt_path,7126.513,0.612
nouakchott_nouakchott_ouest_mauritania,Loops & Lollipops,pt_path,4126.479,0.355
nouakchott_nouakchott_ouest_mauritania,Regular Grid,pt_path,367.423,0.032
nouakchott_nouakchott_ouest_mauritania,Warped Parallel,pt_path,17.974,0.002
nouakchott_nouakchott_ouest_mauritania,Broken Grid,pt_path,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Sparse,pt_path,0.0,0.0
spring_valley_nevada_united_states,Irregular Grid,pt_path,158561.865,0.386
spring_valley_nevada_united_states,Regular Grid,pt_path,112297.931,0.274
