city,pattern_value,pattern_context,n,share
adelaide_south_australia_australia,Irregular Grid,service,23.0,0.719
adelaide_south_australia_australia,Loops & Lollipops,service,9.0,0.281
adelaide_south_australia_australia,Broken Grid,service,0.0,0.0
adelaide_south_australia_australia,Regular Grid,service,0.0,0.0
adelaide_south_australia_australia,UNKNOWN,service,0.0,0.0
adelaide_south_australia_australia,Warped Parallel,service,0.0,0.0
amsterdam_netherlands,UNKNOWN,service,1827.0,0.907
amsterdam_netherlands,Irregular Grid,service,188.0,0.093
amsterdam_netherlands,Broken Grid,service,0.0,0.0
amsterdam_netherlands,Loops & Lollipops,service,0.0,0.0
amsterdam_netherlands,Regular Grid,service,0.0,0.0
amsterdam_netherlands,Warped Parallel,service,0.0,0.0
arequipa_peru,Broken Grid,service,0.0,0.0
arequipa_peru,Irregular Grid,service,0.0,0.0
arequipa_peru,Loops & Lollipops,service,0.0,0.0
arequipa_peru,Regular Grid,service,0.0,0.0
arequipa_peru,UNKNOWN,service,0.0,0.0
arequipa_peru,Warped Parallel,service,0.0,0.0
delft_netherlands,Broken Grid,service,0.0,0.0
delft_netherlands,Irregular Grid,service,0.0,0.0
delft_netherlands,Loops & Lollipops,service,0.0,0.0
delft_netherlands,Regular Grid,service,0.0,0.0
delft_netherlands,UNKNOWN,service,0.0,0.0
delft_netherlands,Warped Parallel,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Broken Grid,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Irregular Grid,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Loops & Lollipops,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Regular Grid,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,UNKNOWN,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Warped Parallel,service,0.0,0.0
huainan_anhui_china,Broken Grid,service,0.0,0.0
huainan_anhui_china,Irregular Grid,service,0.0,0.0
huainan_anhui_china,Loops & Lollipops,service,0.0,0.0
huainan_anhui_china,Regular Grid,service,0.0,0.0
huainan_anhui_china,UNKNOWN,service,0.0,0.0
huainan_anhui_china,Warped Parallel,service,0.0,0.0
jaynagar_bih_r_india,Broken Grid,service,0.0,0.0
jaynagar_bih_r_india,Irregular Grid,service,0.0,0.0
jaynagar_bih_r_india,Loops & Lollipops,service,0.0,0.0
jaynagar_bih_r_india,Regular Grid,service,0.0,0.0
jaynagar_bih_r_india,UNKNOWN,service,0.0,0.0
jaynagar_bih_r_india,Warped Parallel,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Broken Grid,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Irregular Grid,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Loops & Lollipops,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Regular Grid,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,UNKNOWN,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Warped Parallel,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Broken Grid,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Irregular Grid,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Loops & Lollipops,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Regular Grid,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,UNKNOWN,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Warped Parallel,service,0.0,0.0
maracay_aragua_venezuela,Broken Grid,service,0.0,0.0
maracay_aragua_venezuela,Irregular Grid,service,0.0,0.0
maracay_aragua_venezuela,Loops & Lollipops,service,0.0,0.0
maracay_aragua_venezuela,Regular Grid,service,0.0,0.0
maracay_aragua_venezuela,UNKNOWN,service,0.0,0.0
maracay_aragua_venezuela,Warped Parallel,service,0.0,0.0
montes_claros_minas_gerais_brazil,Broken Grid,service,0.0,0.0
montes_claros_minas_gerais_brazil,Irregular Grid,service,0.0,0.0
montes_claros_minas_gerais_brazil,Loops & Lollipops,service,0.0,0.0
montes_claros_minas_gerais_brazil,Regular Grid,service,0.0,0.0
montes_claros_minas_gerais_brazil,UNKNOWN,service,0.0,0.0
montes_claros_minas_gerais_brazil,Warped Parallel,service,0.0,0.0
naihati_west_bengal_india,Broken Grid,service,0.0,0.0
naihati_west_bengal_india,Irregular Grid,service,0.0,0.0
naihati_west_bengal_india,Loops & Lollipops,service,0.0,0.0
naihati_west_bengal_india,Regular Grid,service,0.0,0.0
naihati_west_bengal_india,UNKNOWN,service,0.0,0.0
naihati_west_bengal_india,Warped Parallel,service,0.0,0.0
narayanganj_dhaka_bangladesh,Broken Grid,service,0.0,0.0
narayanganj_dhaka_bangladesh,Irregular Grid,service,0.0,0.0
narayanganj_dhaka_bangladesh,Loops & Lollipops,service,0.0,0.0
narayanganj_dhaka_bangladesh,Regular Grid,service,0.0,0.0
narayanganj_dhaka_bangladesh,UNKNOWN,service,0.0,0.0
narayanganj_dhaka_bangladesh,Warped Parallel,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Broken Grid,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Irregular Grid,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Loops & Lollipops,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Regular Grid,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,UNKNOWN,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Warped Parallel,service,0.0,0.0
spring_valley_nevada_united_states,UNKNOWN,service,497.0,0.486
spring_valley_nevada_united_states,Regular Grid,service,408.0,0.399
spring_valley_nevada_united_states,Broken Grid,service,74.0,0.072
spring_valley_nevada_united_states,Warped Parallel,service,44.0,0.043
spring_valley_nevada_united_states,Irregular Grid,service,0.0,0.0
spring_valley_nevada_united_states,Loops & Lollipops,service,0.0,0.0
temuco_araucan_a_chile,Broken Grid,service,0.0,0.0
temuco_araucan_a_chile,Irregular Grid,service,0.0,0.0
temuco_araucan_a_chile,Loops & Lollipops,service,0.0,0.0
temuco_araucan_a_chile,Regular Grid,service,0.0,0.0
temuco_araucan_a_chile,UNKNOWN,service,0.0,0.0
temuco_araucan_a_chile,Warped Parallel,service,0.0,0.0
vologda_russia,Irregular Grid,service,192.0,0.889
vologda_russia,Regular Grid,service,24.0,0.111
vologda_russia,Broken Grid,service,0.0,0.0
vologda_russia,Loops & Lollipops,service,0.0,0.0
vologda_russia,UNKNOWN,service,0.0,0.0
vologda_russia,Warped Parallel,service,0.0,0.0
