city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,access_egress_sum_ok,8922.0,1270.0,7652.0,0.142
adelaide_south_australia_australia,access_ok,8922.0,2638.0,6284.0,0.296
adelaide_south_australia_australia,egress_ok,8922.0,6350.0,2572.0,0.712
adelaide_south_australia_australia,in_vehicle_ok,8922.0,4728.0,4194.0,0.53
adelaide_south_australia_australia,pt_total_ok,8922.0,159.0,8763.0,0.018
adelaide_south_australia_australia,transfer_ok,8922.0,6382.0,2540.0,0.715
adelaide_south_australia_australia,walk_direct_ok,8922.0,2540.0,6382.0,0.285
amsterdam_netherlands,access_egress_sum_ok,54703.0,10638.0,44065.0,0.194
amsterdam_netherlands,access_ok,54703.0,13455.0,41248.0,0.246
amsterdam_netherlands,egress_ok,54703.0,11923.0,42780.0,0.218
amsterdam_netherlands,in_vehicle_ok,54703.0,13429.0,41274.0,0.245
amsterdam_netherlands,pt_total_ok,54703.0,6710.0,47993.0,0.123
amsterdam_netherlands,transfer_ok,54703.0,13968.0,40735.0,0.255
amsterdam_netherlands,walk_direct_ok,54703.0,40735.0,13968.0,0.745
arequipa_peru,access_egress_sum_ok,4782.0,7.0,4775.0,0.001
arequipa_peru,access_ok,4782.0,8.0,4774.0,0.002
arequipa_peru,egress_ok,4782.0,720.0,4062.0,0.151
arequipa_peru,in_vehicle_ok,4782.0,720.0,4062.0,0.151
arequipa_peru,pt_total_ok,4782.0,7.0,4775.0,0.001
arequipa_peru,transfer_ok,4782.0,720.0,4062.0,0.151
arequipa_peru,walk_direct_ok,4782.0,4062.0,720.0,0.849
delft_netherlands,access_egress_sum_ok,112420.0,35165.0,77255.0,0.313
delft_netherlands,access_ok,112420.0,41596.0,70824.0,0.37
delft_netherlands,egress_ok,112420.0,62184.0,50236.0,0.553
delft_netherlands,in_vehicle_ok,112420.0,59101.0,53319.0,0.526
delft_netherlands,pt_total_ok,112420.0,13991.0,98429.0,0.124
delft_netherlands,transfer_ok,112420.0,62184.0,50236.0,0.553
delft_netherlands,walk_direct_ok,112420.0,50236.0,62184.0,0.447
vologda_russia,access_egress_sum_ok,7950.0,2176.0,5774.0,0.274
vologda_russia,access_ok,7950.0,2934.0,5016.0,0.369
vologda_russia,egress_ok,7950.0,3893.0,4057.0,0.49
vologda_russia,in_vehicle_ok,7950.0,4132.0,3818.0,0.52
vologda_russia,pt_total_ok,7950.0,550.0,7400.0,0.069
vologda_russia,transfer_ok,7950.0,4280.0,3670.0,0.538
vologda_russia,walk_direct_ok,7950.0,3670.0,4280.0,0.462
