city,component,n,ok_count,not_ok_count,share_ok
hai_duong_h_i_d_ng_vietnam,pt_total_ok,268.0,24.0,244.0,0.09
huainan_anhui_china,pt_total_ok,787.0,35.0,752.0,0.044
jaynagar_bih_r_india,pt_total_ok,126.0,13.0,113.0,0.103
kakogawacho_honmachi_hy_go_japan,pt_total_ok,12593.0,8997.0,3596.0,0.714
kananga_kasa_central_congo_kinshasa,pt_total_ok,316.0,70.0,246.0,0.222
maracay_aragua_venezuela,pt_total_ok,11272.0,5209.0,6063.0,0.462
montes_claros_minas_gerais_brazil,pt_total_ok,888.0,414.0,474.0,0.466
naihati_west_bengal_india,pt_total_ok,537.0,237.0,300.0,0.441
narayanganj_dhaka_bangladesh,pt_total_ok,6031.0,168.0,5863.0,0.028
nouakchott_nouakchott_ouest_mauritania,pt_total_ok,18522.0,5998.0,12524.0,0.324
spring_valley_nevada_united_states,pt_total_ok,41015.0,4906.0,36109.0,0.12
temuco_araucan_a_chile,pt_total_ok,7316.0,2700.0,4616.0,0.369
vienna_austria,pt_total_ok,21672.0,20071.0,1601.0,0.926
