city,pattern_value,pattern_context,n,share
hai_duong_h_i_d_ng_vietnam,Broken Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Irregular Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Loops & Lollipops,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Regular Grid,pt_path,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Warped Parallel,pt_path,0.0,0.0
huainan_anhui_china,Loops & Lollipops,pt_path,2992.066,0.868
huainan_anhui_china,Irregular Grid,pt_path,456.092,0.132
huainan_anhui_china,Broken Grid,pt_path,0.0,0.0
huainan_anhui_china,Regular Grid,pt_path,0.0,0.0
huainan_anhui_china,Warped Parallel,pt_path,0.0,0.0
jaynagar_bih_r_india,Broken Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Irregular Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Loops & Lollipops,pt_path,0.0,0.0
jaynagar_bih_r_india,Regular Grid,pt_path,0.0,0.0
jaynagar_bih_r_india,Warped Parallel,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Broken Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Irregular Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Loops & Lollipops,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Regular Grid,pt_path,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Warped Parallel,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Broken Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Irregular Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Loops & Lollipops,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Regular Grid,pt_path,0.0,0.0
kananga_kasa_central_congo_kinshasa,Warped Parallel,pt_path,0.0,0.0
maracay_aragua_venezuela,Broken Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Irregular Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Loops & Lollipops,pt_path,0.0,0.0
maracay_aragua_venezuela,Regular Grid,pt_path,0.0,0.0
maracay_aragua_venezuela,Warped Parallel,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Broken Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Irregular Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Loops & Lollipops,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Regular Grid,pt_path,0.0,0.0
montes_claros_minas_gerais_brazil,Warped Parallel,pt_path,0.0,0.0
naihati_west_bengal_india,Broken Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Irregular Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Loops & Lollipops,pt_path,0.0,0.0
naihati_west_bengal_india,Regular Grid,pt_path,0.0,0.0
naihati_west_bengal_india,Warped Parallel,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Broken Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Irregular Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Loops & Lollipops,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Regular Grid,pt_path,0.0,0.0
narayanganj_dhaka_bangladesh,Warped Parallel,pt_path,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Irregular Grid,pt_path,259.518,0.875
nouakchott_nouakchott_ouest_mauritania,Loops & Lollipops,pt_path,27.094,0.091
nouakchott_nouakchott_ouest_mauritania,Warped Parallel,pt_path,9.886,0.033
nouakchott_nouakchott_ouest_mauritania,Broken Grid,pt_path,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Regular Grid,pt_path,0.0,0.0
spring_valley_nevada_united_states,Irregular Grid,pt_path,113659.557,0.447
spring_valley_nevada_united_states,Regular Grid,pt_path,59399.638,0.233
spring_valley_nevada_united_states,Loops & Lollipops,pt_path,43186.676,0.17
spring_valley_nevada_united_states,Warped Parallel,pt_path,36458.714,0.143
spring_valley_nevada_united_states,Broken Grid,pt_path,1801.634,0.007
temuco_araucan_a_chile,Broken Grid,pt_path,0.0,0.0
temuco_araucan_a_chile,Irregular Grid,pt_path,0.0,0.0
temuco_araucan_a_chile,Loops & Lollipops,pt_path,0.0,0.0
temuco_araucan_a_chile,Regular Grid,pt_path,0.0,0.0
temuco_araucan_a_chile,Warped Parallel,pt_path,0.0,0.0
vienna_austria,Broken Grid,pt_path,8.241,0.56
vienna_austria,Irregular Grid,pt_path,4.97,0.338
vienna_austria,Regular Grid,pt_path,1.438,0.098
vienna_austria,Loops & Lollipops,pt_path,0.077,0.005
vienna_austria,Warped Parallel,pt_path,0.0,0.0
