city,pattern_value,pattern_context,n,share
hai_duong_h_i_d_ng_vietnam,Broken Grid,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Regular Grid,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,UNKNOWN,service,0.0,0.0
hai_duong_h_i_d_ng_vietnam,Warped Parallel,service,0.0,0.0
huainan_anhui_china,Broken Grid,service,0.0,0.0
huainan_anhui_china,Regular Grid,service,0.0,0.0
huainan_anhui_china,UNKNOWN,service,0.0,0.0
huainan_anhui_china,Warped Parallel,service,0.0,0.0
jaynagar_bih_r_india,Broken Grid,service,0.0,0.0
jaynagar_bih_r_india,Regular Grid,service,0.0,0.0
jaynagar_bih_r_india,UNKNOWN,service,0.0,0.0
jaynagar_bih_r_india,Warped Parallel,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Broken Grid,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Regular Grid,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,UNKNOWN,service,0.0,0.0
kakogawacho_honmachi_hy_go_japan,Warped Parallel,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Broken Grid,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Regular Grid,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,UNKNOWN,service,0.0,0.0
kananga_kasa_central_congo_kinshasa,Warped Parallel,service,0.0,0.0
maracay_aragua_venezuela,Broken Grid,service,0.0,0.0
maracay_aragua_venezuela,Regular Grid,service,0.0,0.0
maracay_aragua_venezuela,UNKNOWN,service,0.0,0.0
maracay_aragua_venezuela,Warped Parallel,service,0.0,0.0
montes_claros_minas_gerais_brazil,Broken Grid,service,0.0,0.0
montes_claros_minas_gerais_brazil,Regular Grid,service,0.0,0.0
montes_claros_minas_gerais_brazil,UNKNOWN,service,0.0,0.0
montes_claros_minas_gerais_brazil,Warped Parallel,service,0.0,0.0
naihati_west_bengal_india,Broken Grid,service,0.0,0.0
naihati_west_bengal_india,Regular Grid,service,0.0,0.0
naihati_west_bengal_india,UNKNOWN,service,0.0,0.0
naihati_west_bengal_india,Warped Parallel,service,0.0,0.0
narayanganj_dhaka_bangladesh,Broken Grid,service,0.0,0.0
narayanganj_dhaka_bangladesh,Regular Grid,service,0.0,0.0
narayanganj_dhaka_bangladesh,UNKNOWN,service,0.0,0.0
narayanganj_dhaka_bangladesh,Warped Parallel,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Broken Grid,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Regular Grid,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,UNKNOWN,service,0.0,0.0
nouakchott_nouakchott_ouest_mauritania,Warped Parallel,service,0.0,0.0
spring_valley_nevada_united_states,UNKNOWN,service,497.0,0.486
spring_valley_nevada_united_states,Regular Grid,service,408.0,0.399
spring_valley_nevada_united_states,Broken Grid,service,74.0,0.072
spring_valley_nevada_united_states,Warped Parallel,service,44.0,0.043
temuco_araucan_a_chile,Broken Grid,service,0.0,0.0
temuco_araucan_a_chile,Regular Grid,service,0.0,0.0
temuco_araucan_a_chile,UNKNOWN,service,0.0,0.0
temuco_araucan_a_chile,Warped Parallel,service,0.0,0.0
vienna_austria,Broken Grid,service,0.0,0.0
vienna_austria,Regular Grid,service,0.0,0.0
vienna_austria,UNKNOWN,service,0.0,0.0
vienna_austria,Warped Parallel,service,0.0,0.0
