portland_oregon_usa	Portland, Oregon, USA
san_francisco_california_usa	San Francisco, California, USA
new_york_new_york_usa	New York, New York, USA
paris_france	Paris, France
irvine_california_usa	Irvine, California, USA
rome_italy	Rome, Italy
tunis_tunisia	Tunis, Tunisia
atlanta_georgia_usa	Atlanta, Georgia, USA
boston_massachusetts_usa	Boston, Massachusetts, USA
dubai_united_arab_emirates	Dubai, United Arab Emirates
sacramento_california_usa	Sacramento, California, USA
osaka_japan	Osaka, Japan
ottawa_ontario_canada	Ottawa, Ontario, Canada
charlotte_north_carolina_usa	Charlotte, North Carolina, USA
melbourne_victoria_australia	Melbourne, Victoria, Australia
